"timestamp","phase","elapsed_sec","query_result","adapterIndex","workgraph_pid","CLK_GFXCLK_supported","CLK_GFXCLK","CLK_MEMCLK_supported","CLK_MEMCLK","CLK_SOCCLK_supported","CLK_SOCCLK","TEMP_EDGE_supported","TEMP_EDGE","TEMP_MEM_supported","TEMP_MEM","ACTIVITY_GFX_supported","ACTIVITY_GFX","ACTIVITY_MEM_supported","ACTIVITY_MEM","GFX_VOLTAGE_supported","GFX_VOLTAGE","ASIC_POWER_supported","ASIC_POWER","TEMP_HOTSPOT_supported","TEMP_HOTSPOT","TEMP_GFX_supported","TEMP_GFX","TEMP_SOC_supported","TEMP_SOC","GFX_POWER_supported","GFX_POWER","GFX_CURRENT_supported","GFX_CURRENT","THROTTLER_STATUS_supported","THROTTLER_STATUS","BUS_SPEED_supported","BUS_SPEED","BUS_LANES_supported","BUS_LANES","THROTTLE_POWER_supported","THROTTLE_POWER","THROTTLE_TDC_supported","THROTTLE_TDC","THROTTLE_VMAX_supported","THROTTLE_VMAX","BUS_CURR_MAX_SPEED_supported","BUS_CURR_MAX_SPEED","BOARD_POWER_supported","BOARD_POWER"
"2026-05-28T21:10:30.4247723+08:00","during_workgraph","4.349","0","5","32836","1","1465","1","161","0","0","1","36","1","38","1","36","1","4","1","707","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","32"
"2026-05-28T21:10:30.5016627+08:00","during_workgraph","4.426","0","5","32836","1","1477","1","164","0","0","1","36","1","40","1","36","1","4","1","706","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:30.5796623+08:00","during_workgraph","4.503","0","5","32836","1","1496","1","183","0","0","1","37","1","40","1","44","1","4","1","710","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:30.6416625+08:00","during_workgraph","4.565","0","5","32836","1","1494","1","173","0","0","1","36","1","40","1","43","1","4","1","710","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:30.7046628+08:00","during_workgraph","4.629","0","5","32836","1","1475","1","164","0","0","1","36","1","40","1","37","1","4","1","706","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:30.7679126+08:00","during_workgraph","4.692","0","5","32836","1","1478","1","179","0","0","1","36","1","40","1","37","1","4","1","703","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:30.8319124+08:00","during_workgraph","4.756","0","5","32836","1","1472","1","166","0","0","1","36","1","40","1","37","1","4","1","708","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:30.8949144+08:00","during_workgraph","4.819","0","5","32836","1","1479","1","171","0","0","1","36","1","40","1","37","1","4","1","707","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:30.9569126+08:00","during_workgraph","4.881","0","5","32836","1","1481","1","170","0","0","1","36","1","40","1","37","1","4","1","706","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:31.0209120+08:00","during_workgraph","4.945","0","5","32836","1","1486","1","174","0","0","1","36","1","40","1","39","1","4","1","708","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:31.0839143+08:00","during_workgraph","5.008","0","5","32836","1","1511","1","171","0","0","1","36","1","39","1","44","1","4","1","712","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:31.1479153+08:00","during_workgraph","5.071","0","5","32836","1","1483","1","177","0","0","1","36","1","38","1","42","1","4","1","708","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
